corresponding_ID,Alias_ID,alias_name,real_name,start,end,extra,links
,,lord brougham,Henry Peter Brougham,1830/01/01,1868/05/07,1st Baron Brougham and Vaux,"https://en.wikipedia.org/wiki/Henry_Brougham,_1st_Baron_Brougham_and_Vaux"
,,lord brougham,William Brougham,1868/05/07,1886/01/03,2nd Baron Brougham and Vaux,"https://en.wikipedia.org/wiki/William_Brougham,_2nd_Baron_Brougham_and_Vaux"
,,lord brougham,Henry Charles Brougham,1886/01/03,1927/05/24,3rd Baron Brougham and Vaux,"https://en.wikipedia.org/wiki/Henry_Brougham,_3rd_Baron_Brougham_and_Vaux"
,,lord brougham,Victor Henry Peter Brougham,1927/05/24,1967/06/20,4th Baron Brougham and Vaux,"https://en.wikipedia.org/wiki/Victor_Brougham,_4th_Baron_Brougham_and_Vaux"
,,earl of carnarvon,Henry Herbert,1793/01/01,1811/06/03,1st Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_1st_Earl_of_Carnarvon"
,,earl of carnarvon,Henry George Herbert,1811/06/03,1833/04/16,2nd Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_2nd_Earl_of_Carnarvon"
,,earl of carnarvon,Henry John George Herbert,1833/04/16,1849/12/10,3rd Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_3rd_Earl_of_Carnarvon"
,,earl of carnarvon,Henry Howard Molyneux Herbert,1849/12/10,1890/06/29,4th Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_4th_Earl_of_Carnarvon"
,,earl of carnarvon,George Edward Stanhope Molyneux Herbert,1890/06/29,1923/04/05,5th Earl of Carnarvon,"https://en.wikipedia.org/wiki/George_Herbert,_5th_Earl_of_Carnarvon"
,,earl of carnarvon,Henry George Alfred Marius Victor Francis Herbert,1923/04/05,1987/09/22,6th Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_6th_Earl_of_Carnarvon"
,,earl of carnarvon,Henry George Reginald Molyneux Herbert,1987/09/22,2001/09/11,7th Earl of Carnarvon,"https://en.wikipedia.org/wiki/Henry_Herbert,_7th_Earl_of_Carnarvon"
,,sir h campbell bannerman,Henry Campbell-Bannerman,1836/09/07,1908/04/22,,https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman
,,lord castlereagh,Robert Stewart,1769/06/18,1822/12/31,"2nd Marquess of Londonderry, Secretary of State for Foreign Affairs","https://en.wikipedia.org/wiki/Robert_Stewart,_Viscount_Castlereagh"
,,lord elcho,Francis Wemyss Charteris,1787/04/29,1808/01/20, 6th Earl of Wemyss,"https://en.wikipedia.org/wiki/David_Wemyss,_Lord_Elcho"
,,lord elcho,Francis Richard Charteris,1853,1883/01/01,10th Earl of Wemyss,"https://en.wikipedia.org/wiki/Francis_Charteris,_10th_Earl_of_Wemyss"
,,lord elcho,Hugo Richard Charteris,1883/01/01,1914/06/30,11th Earl of Wemyss,"https://en.wikipedia.org/wiki/Hugo_Charteris,_11th_Earl_of_Wemyss"
,,lord elcho,Hugo Francis Charteris,1914/06/30,1916/04/23,,https://www.findagrave.com/memorial/68027679/hugo-francis-charteris
,,lord elcho,Francis David Charteris,1916/04/23,1937/07/12,12th Earl of Wemyss,"https://en.wikipedia.org/wiki/David_Charteris,_12th_Earl_of_Wemyss"
,,lord elcho,Iain David Charteris,1945/06/20,1954/04/03,died as an infant in a car accident,"https://en.wikipedia.org/wiki/James_Charteris,_13th_Earl_of_Wemyss"
,,lord lyndhurst,John Singleton Copley,1772/05/21,1863/10/12,Lord High Chancellor of Great Britain,"https://en.wikipedia.org/wiki/John_Copley,_1st_Baron_Lyndhurst"
,,lord monteagle,Thomas Spring Rice,1839/01/01,1866/02/07,1st Baron Monteagle of Brandon,"https://en.wikipedia.org/wiki/Thomas_Spring_Rice,_1st_Baron_Monteagle_of_Brandon"
,,lord monteagle,Thomas Spring Rice,1866/02/07,1926/12/24,2nd Baron Monteagle of Brandon,"https://en.wikipedia.org/wiki/Thomas_Spring_Rice,_2nd_Baron_Monteagle_of_Brandon"
,,lord monteagle,Thomas Aubrey Spring Rice,1926/12/24,1934/10/11,3rd Baron Monteagle of Brandon,"https://en.wikipedia.org/wiki/Thomas_Spring_Rice,_3rd_Baron_Monteagle_of_Brandon"
,,lord monteagle,Francis Spring Rice,1934/10/11,1937/12/22,4th Baron Monteagle of Brandon,"https://en.wikipedia.org/wiki/Francis_Spring_Rice,_4th_Baron_Monteagle_of_Brandon"
,,lord monteagle,Charles Spring Rice,1937/12/22,1946/12/09,5th Baron Monteagle of Brandon,"https://en.wikipedia.org/wiki/Charles_Spring_Rice,_5th_Baron_Monteagle_of_Brandon"
,,lord monteagle,Gerald Spring Rice,1946/12/09,2013/11/17,6th Baron Monteagle of Brandon,"https://en.wikipedia.org/wiki/Gerald_Spring_Rice,_6th_Baron_Monteagle_of_Brandon"
,,marquess of clanricarde,Ulick de Burgh,1825/10/08,1874/04/10,1st Marquess of Clanricarde,"https://en.wikipedia.org/wiki/Ulick_de_Burgh,_1st_Marquess_of_Clanricarde"
,,marquess of clanricarde,Hubert George de Burgh-Canning,1874/04/10,1916/04/12,2nd Marquess of Clanricarde,"https://en.wikipedia.org/wiki/Hubert_de_Burgh-Canning,_2nd_Marquess_of_Clanricarde"
,,earl of camperdown,Robert Dundas Haldane-Duncan,1831,1859,1st Earl of Camperdown,https://en.wikipedia.org/wiki/Earl_of_Camperdown
,,earl of camperdown,Adam Haldane-Duncan,1859,1867/01/30,2nd Earl of Camperdown,"https://en.wikipedia.org/wiki/Adam_Haldane-Duncan,_2nd_Earl_of_Camperdown"
,,earl of camperdown,Robert Adam Philips Haldane Haldane-Duncan,1867/01/30,1918/06/05,3rd Earl of Camperdown,"https://en.wikipedia.org/wiki/Robert_Haldane-Duncan,_3rd_Earl_of_Camperdown"
,,earl of camperdown,George Haldane-Duncan,1918/06/05,1933/12/05,4th Earl of Camperdown,
,,duke of richmond,Charles Lennox,1750/08/08,1806/12/29,3rd Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Lennox,_3rd_Duke_of_Richmond"
,,duke of richmond,Charles Lennox,1806/12/29,1819/08/28,4th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Lennox,_4th_Duke_of_Richmond"
,,duke of richmond,Charles Gordon-Lennox,1819/08/28,1860/10/21,5th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_5th_Duke_of_Richmond"
,,duke of richmond,Charles Gordon-Lennox,1860/10/21,1903/09/27,6th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_6th_Duke_of_Richmond"
,,duke of richmond,Charles Henry Gordon-Lennox,1903/09/27,1928/01/18,7th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_7th_Duke_of_Richmond"
,,duke of richmond,Charles Henry Gordon-Lennox,1928/01/18,1935/05/07,8th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_8th_Duke_of_Richmond"
,,duke of richmond,Charles Henry Gordon-Lennox,1935/05/07,1989/11/02,9th Duke of Richmond,"https://en.wikipedia.org/wiki/Frederick_Gordon-Lennox,_9th_Duke_of_Richmond"
,,duke of richmond,Charles Henry Gordon-Lennox,1989/11/02,2017/09/01,10th Duke of Richmond,"https://en.wikipedia.org/wiki/Charles_Gordon-Lennox,_10th_Duke_of_Richmond"
,,colonel nolan,John Philip Nolan,1838,1912/01/30,an Irish nationalist landowner and Member of Parliament,https://en.wikipedia.org/wiki/John_Philip_Nolan
,,mr secretary peel,Robert Peel,1812/08/01,1818/08/01,Chief Secretary for Ireland,https://en.wikipedia.org/wiki/Robert_Peel
,,mr secretary peel,Robert Peel,1828/01/26,1830/11/22,Home Secretary,https://en.wikipedia.org/wiki/Robert_Peel
,,colonel saunderson,Edward James Saunderson,1866,1906/10/21,,https://en.wikipedia.org/wiki/Edward_James_Saunderson
,,mr campbell bannerman,Henry Campbell-Bannerman,1836/09/07,1908/04/22,,https://en.wikipedia.org/wiki/Henry_Campbell-Bannerman
,,earl spencer,Frederick Spencer,1845/10/01,1857/12/27,4th earl spencer,"https://en.wikipedia.org/wiki/Frederick_Spencer,_4th_Earl_Spencer"
,,earl spencer,John Poyntz Spencer,1857/12/27,1910/08/13,5th earl spencer,"https://en.wikipedia.org/wiki/John_Spencer,_5th_Earl_Spencer"
,,earl spencer,Charles Robert Spencer,1910/08/13,1922/09/26,6th earl spencer,"https://en.wikipedia.org/wiki/Charles_Spencer,_6th_Earl_Spencer"
,,earl spencer,Albert Edward John Spencer,1922/09/26,1975/06/09,7th Earl Spencer,"https://en.wikipedia.org/wiki/Albert_Spencer,_7th_Earl_Spencer"
,,earl spencer,John Spencer,1975/06/09,1992/03/29,8th Earl Spencer,"https://en.wikipedia.org/wiki/John_Spencer,_8th_Earl_Spencer"
,,marquess of londonderry,Robert Stewart,1904/12/20,1821/04/06,1st Marquess of Londonderry,"https://en.wikipedia.org/wiki/Robert_Stewart,_1st_Marquess_of_Londonderry"
,,marquess of londonderry,Robert Stewart,1821/04/06,1822/08/12,2nd Marquess of Londonderry,"https://en.wikipedia.org/wiki/Robert_Stewart,_Viscount_Castlereagh"
,,marquess of londonderry,Charles William Vane,1822/08/12,1854/03/06,3rd Marquess of Londonderry,"https://en.wikipedia.org/wiki/Charles_Vane,_3rd_Marquess_of_Londonderry"
,,marquess of londonderry,Frederick William Robert Stewart,1854/03/06,1872/11/25,4th Marquess of Londonderry,"https://en.wikipedia.org/wiki/Frederick_Stewart,_4th_Marquess_of_Londonderry"
,,marquess of londonderry,George Henry Robert Charles William Vane-Tempest,1872/11/25,1884/11/06,5th Marquess of Londonderry,"https://en.wikipedia.org/wiki/George_Vane-Tempest,_5th_Marquess_of_Londonderry"
,,marquess of londonderry,Charles Stewart Vane-Tempest-Stewart,1884/11/06,1915/02/08,6th Marquess of Londonderry,"https://en.wikipedia.org/wiki/Charles_Vane-Tempest-Stewart,_6th_Marquess_of_Londonderry"
,,marquess of londonderry,Charles Stewart Henry Vane-Tempest-Stewart,1915/02/08,1949/02/10,7th Marquess of Londonderry,"https://en.wikipedia.org/wiki/Charles_Vane-Tempest-Stewart,_7th_Marquess_of_Londonderry"
,,marquess of londonderry,Edward Charles Stewart Robert Vane-Tempest-Stewart,1949/02/10,1955/10/17,8th Marquess of Londonderry,"https://en.wikipedia.org/wiki/Robin_Vane-Tempest-Stewart,_8th_Marquess_of_Londonderry"
,,marquess of londonderry,Alistair Vane-Tempest-Stewart,1955/10/17,2012/06/20,9th Marquess of Londonderry,"https://en.wikipedia.org/wiki/Alistair_Vane-Tempest-Stewart,_9th_Marquess_of_Londonderry"
,,lord holland,Henry Richard Vassall-Fox,1774/12/26,1840/10/22,3rd Baron Holland,"https://en.wikipedia.org/wiki/Henry_Vassall-Fox,_3rd_Baron_Holland"
,,lord holland,Henry Edward Fox,1840/10/22,1859/12/18,4th Baron Holland,"https://en.wikipedia.org/wiki/Henry_Fox,_4th_Baron_Holland"
,,earl of malmesbury,James Harris,1800,1820/11/21,1st Earl of Malmesbury,"https://en.wikipedia.org/wiki/James_Harris,_1st_Earl_of_Malmesbury"
,,earl of malmesbury,James Edward Harris,1820/11/21,1841/09/10,2nd Earl of Malmesbury,"https://en.wikipedia.org/wiki/James_Harris,_2nd_Earl_of_Malmesbury"
,,earl of malmesbury,James Howard Harris,1841/09/10,1889/05/17,3rd Earl of Malmesbury,"https://en.wikipedia.org/wiki/James_Harris,_3rd_Earl_of_Malmesbury"
,,earl of malmesbury,Edward James Harris,1889/05/17,1899/05/19,4th Earl of Malmesbury,"https://en.wikipedia.org/wiki/Edward_Harris,_4th_Earl_of_Malmesbury"
,,earl of malmesbury,James Edward Harris,1899/05/19,1950/06/12,5th Earl of Malmesbury,"https://en.wikipedia.org/wiki/James_Harris,_5th_Earl_of_Malmesbury"
,,earl of malmesbury,William James Harris,1950/06/12,2000/11/11,6th Earl of Malmesbury,"https://en.wikipedia.org/wiki/William_Harris,_6th_Earl_of_Malmesbury"
,,earl of aberdeen,George Hamilton-Gordon,1828/01/26,1855/01/30,4th Earl of Aberdeen,
,,earl of aberdeen,George John James Hamilton-Gordon,1905/01/27,1905/02/02,5th Earl of Aberdeen,
,,earl of aberdeen,George Gordon,1904/08/07,1904/08/08,1st Earl of Aberdeen,
,,secretary to the treasurey,John Hiley Addington,1801/03/24,1904/12/06,,
,,secretary to the treasurey,Nicholas Vansittart,1802/07/08,1804/04/01,,
,,secretary to the treasurey,William Huskisson,1804/05/21,1806/01/01,,
,,secretary to the treasurey,Nicholas Vansittart,1806/02/10,1904/12/11,,
,,secretary to the treasurey,Henry Wellesley,1807/04/01,1904/12/13,,
,,secretary to the treasurey,Charles Arbuthnot,1809/04/05,1904/12/27,He served as a JOINT secretary w/ Richard Wharton and Lushington (see two below),
,,secretary to the treasurey,Richard Wharton,1904/12/13,1904/12/18,^,
,,secretary to the treasurey,Stephen Rumbold Lushington,1904/12/18,1904/12/27,^,
,,secretary to the treasurey,Joseph Planta,1827/04/19,1905/01/03,,
,,chief secretary,John Boyd-Carpenter,1962/07/13,1964/10/16,Chief Secretary to the Treasurey,
,,chief secretary,Jack Diamond,1964/10/20,1970/06/19,Chief Secretary to the Treasurey,
,,chief secretary,Maurice Macmillan,1970/06/23,1972/04/07,Chief Secretary to the Treasurey,
,,chief secretary,Patrick Jenkin,1972/04/07,1974/01/08,Chief Secretary to the Treasurey,
,,chief secretary,Tom Boardman,1974/01/08,1974/03/04,Chief Secretary to the Treasurey,
,,chief secretary,Joel Barnett,1974/03/07,1979/05/04,Chief Secretary to the Treasurey,
,,chief secretary,John Biffen,1979/05/05,1981/01/05,Chief Secretary to the Treasurey,
,,chief secretary,Leon Brittan,1981/01/05,1983/06/11,Chief Secretary to the Treasurey,
,,chief secretary,Peter Rees,1983/06/11,1985/09/02,Chief Secretary to the Treasurey,
,,chief secretary,John MacGregor,1985/09/02,1987/06/13,Chief Secretary to the Treasurey,
,,chief secretary,John Major,1987/06/13,1989/07/24,Chief Secretary to the Treasurey,
,,chief secretary,Norman Lamont,1989/07/24,1990/11/28,Chief Secretary to the Treasurey,
,,chief secretary,David Mellor,1990/11/28,1992/04/10,Chief Secretary to the Treasurey,
,,chief secretary,Michael Portillo,1992/04/10,1994/07/20,Chief Secretary to the Treasurey,
,,chief secretary,Jonathan Aitken,1994/07/20,1995/07/05,Chief Secretary to the Treasurey,
,,chief secretary,William Waldegrave,1995/07/05,1997/05/02,Chief Secretary to the Treasurey,
,,chief secretary,Alistair Darling,1997/05/03,1998/07/27,Chief Secretary to the Treasurey,
,,chief secretary,Stephen Byers,1998/07/27,1998/07/27,Chief Secretary to the Treasurey,
,,chief secretary,Alan Milburn,1998/12/23,1999/10/11,Chief Secretary to the Treasurey,
,,chief secretary,Andrew Smith,1999/10/11,2002/05/29,Chief Secretary to the Treasurey,
,,chief secretary,Paul Boateng,2002/05/29,2005/05/06,Chief Secretary to the Treasurey,
,,archbishop of canterbury,John Moore,1783/03/31,1805/01/18,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Charles Manners-Sutton,1805/02/01,1828/07/21,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,William Howley,1828/08/06,1848/02/11,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,John Bird Sumner,1848/02/17,1862/09/06,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Charles Longley,1862/10/20,1868/10/28,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Archibald Campbell Tait,1868/11/28,1882/12/01,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Edward White Benson,1883/01/13,1896/10/11,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Frederick Temple,1896/11/09,1902/12/22,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Randall Davidson,1903/01/14,1928/11/12,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Cosmo Gordon Lang,1928/11/13,1942/03/31,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,William Temple,1942/04/01,1944/10/26,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Geoffrey Fisher,1945/01/12,1961/05/31,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Michael Ramsey,1961/06/01,1974/11/15,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Donald Coggan,1974/11/18,1980/01/25,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Robert Runcie,1980/02/01,1991/01/31,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,George Carey,1991/04/19,2002/10/31,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,archbishop of canterbury,Rowan Williams,2002/12/02,2012/12/31,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,,mr secretary canning,George Canning,1807/03/25,1809/10/11,Secretary of State for Foreign Affairs,https://en.wikipedia.org/wiki/George_Canning
,,mr secretary canning,George Canning,1822/09/13,1827/04/20,Secretary of State for Foreign Affairs,https://en.wikipedia.org/wiki/George_Canning
,,sir henry selwin-ibbetson,Henry John Selwin-Ibbetson,1826/09/26,1902/01/15,1st Baron Rookwood,"https://en.wikipedia.org/wiki/Henry_Selwin-Ibbetson,_1st_Baron_Rookwood"
,,earl of clarendon,Henry Hyde,1904/08/11,1904/08/13,2nd Earl of Clarendon,
,,earl of clarendon,Edward Hyde,1904/08/27,1904/09/03,3rd Earl of Clarendon,
,,earl of clarendon,Henry Hyde,1904/08/18,1904/09/06,4th Earl of Clarendon,
,,lord denman,Thomas Denman,1911/07/31,1914/05/18,3rd Baron Denman,
,,lord denman,Thomas Denman,1905/01/05,1905/01/23,1st Baron of Denman,
,,lord ashley,Anthony Ashley Cooper,1904/12/15,1905/01/24,,
,,lord naas,Richard Southwell Bourke,1869/01/12,1872/02/08,Viceroy and Governor-General of India,
,,admiral field,Sir Frederick Laurence Field,1905/02/26,1905/04/16,,
,,admiral field,Edward Field,1905/02/27,1905/03/14,,
,,earl beauchamp,William Lygon,1904/12/10,1904/12/19,1st earl beauchamp,
,,earl beauchamp,William Beauchamp Lygon,1904/12/10,1904/12/20,2nd earl beauchamp,
,,earl beauchamp,Henry Beauchamp Lygon,1904/12/20,1905/01/26,4th earl beauchamp,
,,earl beauchamp,Henry Lygon,1905/01/26,1905/02/05,5th earl beauchamp,
,,earl beauchamp,Frederick Lygon,1886/08/19,1880/04/21,6th Earl Beauchamp,
,,earl beauchamp,William Lygon,1899/05/18,1914/08/06,7th Earl Beauchamp,
,,earl beauchamp,William Lygon,1905/04/21,1905/06/01,8th Earl Beauchamp,
,,earl of harrowby,Dudley Ryder,1812/06/11,1805/01/11,1st Earl of Harrowby,
,,earl of harrowby,Dudley Ryder,1855/12/07,1855/12/07,2nd Earl of Harrowby,
,,earl of harrowby,Dudley Francis Stuart Ryder,1878/04/04,1880/04/21,3rd Earl of Harrowby,
,,earl of harrowby,John Herbert Dudley Ryder,1905/03/12,1905/05/01,5th Earl of Harrowby,
,,earl of harrowby,Dudley Ryder,1905/04/02,1905/05/09,6th Earl of Harrowby,
,,sir henry james,Henry James,1895/07/04,1873/11/20,1st Baron James of Hereford,
,,lord balfour of burleigh,Alexander Hugh Bruce,1895/06/29,1903/10/09,,
,,lord balfour of burleigh,George John Gordon Bruce,1905/04/06,1905/05/16,,
,,general sir george balfour,Sir George Balfour,1905/02/14,1905/03/06,,
,,lord herschell,Farrer Herschell,1886/02/06,1886/07/20,,
,,lord herschell,Richard Herschell,1905/03/21,1905/03/29,,