corresponding_id,alias,real_name,alias_type,start,end,extra,link
6738,Earl of Derby,Edward Smith-Stanley,title,1776/01/01,1834/12/31,12th Earl of Derby,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_12th_Earl_of_Derby"
,Earl of Derby,Edward Smith-Stanley,title,1834/01/01,1851/06/30,13th Earl of Derby / NO ID,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_13th_Earl_of_Derby"
,Baron Stanley of Bickerstaffe,Edward Smith-Stanley,title,1832,1851/06/30,unclear start date,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_13th_Earl_of_Derby"
,Earl of Derby,Edward Geroge Geoffrey Smith-Stanley,title,1851/06/30,1869/10/23,14th Earl of Derby / NO ID,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
,Baron Stanley of Bickerstaffe,Edward Geroge Geoffrey Smith-Stanley,title,1844,1869/10/23,writ in acceleration,"https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
4079,Earl of Derby,Edward Henry Stanley,title,1869/10/24,1893/04/21,15th Earl of Derby,"https://en.wikipedia.org/wiki/Edward_Stanley,_15th_Earl_of_Derby"
4079,Baron Stanley of Bickerstaffe,Edward Henry Stanley,title,1869/10/24,1893/04/21,,"https://en.wikipedia.org/wiki/Edward_Stanley,_15th_Earl_of_Derby"
4918,Earl of Derby,Frederick Arthur Stanley,title,1893/04/22,1908/06/14,16th Earl of Derby,"https://en.wikipedia.org/wiki/Frederick_Stanley,_16th_Earl_of_Derby"
4918,Baron Stanley of Bickerstaffe,Frederick Arthur Stanley,title,1893/04/22,1908/06/14,,"https://en.wikipedia.org/wiki/Frederick_Stanley,_16th_Earl_of_Derby"
4918,Baron Stanley of Preston,Frederick Arthur Stanley,title,1866,1908/06/14,"new creation, unclear start date","https://en.wikipedia.org/wiki/Frederick_Stanley,_16th_Earl_of_Derby"
7255,Earl of Derby,Edward George Villiers Stanley,title,1908/07/14,1948/02/04,17th Earl of Derby,"https://en.wikipedia.org/wiki/Edward_Stanley,_17th_Earl_of_Derby"
7255,Baron Stanley of Bickerstaffe,Edward George Villiers Stanley,title,1908/07/14,1948/02/04,17th Earl of Derby,"https://en.wikipedia.org/wiki/Edward_Stanley,_17th_Earl_of_Derby"
7255,Baron Stanley of Preston,Edward George Villiers Stanley,title,1908/07/14,1948/02/04,17th Earl of Derby,"https://en.wikipedia.org/wiki/Edward_Stanley,_17th_Earl_of_Derby"