corresponding_id,alias,real_name,alias_type,start,end,extra,links
6656,Lord Clive,Edward Clive,title,1774/11/22,1804/05/13,Since his father was the 1st Baron Clive (a Irish title) which did not seat him in the house of lords but out of respect they called him Lord. He officially became a peer with the tile of Earl of Powis. Baron Clive was also remade as an English title as well.,"https://en.wikipedia.org/wiki/Edward_Clive,_1st_Earl_of_Powis"
6656,Earl of Powis,Edward Clive,title,1804/05/14,1839/05/16,,
6656,Baron Powis,Edward Clive,title,1804/05/14,1839/05/16,,
6656,Baron Herbert,Edward Clive,title,1804/05/14,1839/05/16,Baron Herbert of Chirbury,
6656,Baron Clive,Edward Clive,title,1794/08/13,1839/05/16,Baron Clive of Walcot,
6656,Baron Clive,Edward Clive,title,1774/11/22,1839/05/16,Baron Clive of Plassey,
6656,Viscount Clive,Edward Clive,title,1804/05/14,1839/05/16,Viscount Clive for Ludlow,
3080,Earl of Powis,Edward Herbert,title,1839/05/17,1848/01/17,,"https://en.wikipedia.org/wiki/Edward_Herbert,_2nd_Earl_of_Powis"
3080,Baron Powis,Edward Herbert,title,1839/05/17,1848/01/17,,
3080,Baron Herbert,Edward Herbert,title,1839/05/17,1848/01/17,Baron Herbert of Chirbury,
3080,Baron Clive,Edward Herbert,title,1839/05/17,1848/01/17,Baron Clive of Walcot,
3080,Baron Clive,Edward Herbert,title,1839/05/17,1848/01/17,Baron Clive of Plassey,
3080,Viscount Clive,Edward Herbert,title,1839/05/17,1848/01/17,Viscount Clive fo Ludlow,
3800,Earl of Powis,Edward James Herbert,title,1848/01/18,1891/05/07,,"https://en.wikipedia.org/wiki/Edward_Herbert,_3rd_Earl_of_Powis"
3800,Baron Powis,Edward James Herbert,title,1848/01/18,1891/05/07,,
3800,Baron Herbert,Edward James Herbert,title,1848/01/18,1891/05/07,Baron Herbert of Chirbury,
3800,Baron Clive,Edward James Herbert,title,1848/01/18,1891/05/07,Baron Clive of Walcot,
3800,Baron Clive,Edward James Herbert,title,1848/01/18,1891/05/07,Baron Clive of Plassey,
3800,Viscount Clive,Edward James Herbert,title,1848/01/18,1891/05/07,Viscount Clive fo Ludlow,
12939,Earl of Powis,George Charles Herbert,title,1891/05/08,1952/11/09,Entry created in mps.csv,"https://en.wikipedia.org/wiki/George_Herbert,_4th_Earl_of_Powis"
12939,Baron Powis,George Charles Herbert,title,1891/05/08,1952/11/09,,
12939,Baron Herbert,George Charles Herbert,title,1891/05/08,1952/11/09,Baron Herbert of Chirbury,
12939,Baron Clive,George Charles Herbert,title,1891/05/08,1952/11/09,Baron Clive of Walcot,
12939,Baron Clive,George Charles Herbert,title,1891/05/08,1952/11/09,Baron Clive of Plassey,
12939,Viscount Clive,George Charles Herbert,title,1891/05/08,1952/11/09,Viscount Clive fo Ludlow,