corresponding_id,alias,real_name,alias_type,start,end,links
,Earl of Shrewsbury,Charles Talbot,title,1787,1827,
,Earl of Shrewsbury,John Talbot,title,1827,1852,"https://en.wikipedia.org/wiki/John_Talbot,_16th_Earl_of_Shrewsbury"
,Earl of Shrewsbury,Bertram Arthur Talbot,title,1852,1856/08/10,"https://en.wikipedia.org/wiki/Bertram_Talbot,_17th_Earl_of_Shrewsbury"
,Viscount Ingestre,Henry John Chetwynd-Talbot,title,1826,1849,"https://en.wikipedia.org/wiki/Henry_Chetwynd-Talbot,_18th_Earl_of_Shrewsbury"
,Earl Talbot,Henry John Chetwynd-Talbot,title,1849,1858,
,Earl of Shrewsbury,Henry John Chetwynd-Talbot,title,1858,1868/06/04,
,Viscount Ingestre,Charles John Chetwynd-Talbot,title,1849,1868/06/04,"https://en.wikipedia.org/wiki/Charles_Chetwynd-Talbot,_19th_Earl_of_Shrewsbury"
,Earl of Shrewsbury,Charles John Chetwynd-Talbot,title,1868/06/05,1877/05/11,
,Viscount Ingestre,Charles Henry John Chetwynd-Talbot,title,1868/06/05,1877/05/11,"https://en.wikipedia.org/wiki/Charles_Chetwynd-Talbot,_20th_Earl_of_Shrewsbury"
,Earl of Shrewsbury,Charles Henry John Chetwynd-Talbot,title,1877/05/12,1921/05/07,