corresponding_id,alias,real_name,alias_type,start,end,extra
,Marquess of Salisbury,James Cecil,title,1789,1823/06/13,no entry in mps.csv
,Earl of Salisbury,James Cecil,title,1780/09/20,1823/06/13,
,Viscount Cranborne,James Cecil,title,1748/09/04,1780/09/19,"unknown start date, using birth"
,Baron Cecil,James Cecil,title,1780/09/20,1823/06/13,
1966,Marquess of Salisbury,James Brownlow William Gascoyne-Cecil,title,1823/06/14,1868/04/12,
1966,Earl of Salisbury,James Brownlow William Gascoyne-Cecil,title,1823/06/14,1868/04/12,
,Viscount Cranborne,James Brownlow William Gascoyne-Cecil,title,1791/04/17,1823/06/13,"unknown start date, using birth"
,Baron Cecil,James Brownlow William Gascoyne-Cecil,title,1823/06/14,1868/04/12,
4342,Marquess of Salisbury,Robert Arthur Talbot Gascoyne-Cecil,title,1868/04/13,1903/08/22,
4342,Earl of Salisbury,Robert Arthur Talbot Gascoyne-Cecil,title,1868/04/13,1903/08/22,
,Viscount Cranborne,Robert Arthur Talbot Gascoyne-Cecil,title,1865/06,1868/04/12,
,Baron Cecil,Robert Arthur Talbot Gascoyne-Cecil,title,1868/04/13,1903/08/22,
5988,Marquess of Salisbury,James Edward Hubert Gascoyne-Cecil,title,1903/08/23,1947/04/04,
5988,Earl of Salisbury,James Edward Hubert Gascoyne-Cecil,title,1903/08/23,1947/04/04,
,Viscount Cranborne,James Edward Hubert Gascoyne-Cecil,title,1868,1903,
,Baron Cecil,James Edward Hubert Gascoyne-Cecil,title,1903,1941,