misspelled_name	correct_name
Mr. Vansiltart	Mr. Vansittart
Mr. Nicltolas Vansittart	Mr. Nicholas Vansittart
The whole of Mr. Vansittart's	Mr. Vansittart
Lord Ellenborugh	Lord Ellenborough
Lord Ellenborough,	Lord Ellenborough
Lord Ellenborough.	Lord Ellenborough
Lord Ellen-borough	Lord Ellenborough
Lord Ellenbrough	Lord Ellenborough
Mr. Spring Rice.	Mr. Spring Rice
Mr. Spring Rice:	Mr. Spring Rice
Mr. Spring Rice,	Mr. Spring Rice
MR. CORNEWALLLEWIS	MR. CORNEWALL LEWIS
SIR WILLTAM HARCOURT	SIR WILLLIAM HARCOURT
SIR WILLIAMHARCOURT	SIR WILLLIAM HARCOURT
SIR WILLIAM. HARCOURT	SIR WILLLIAM HARCOURT
SIR WILLIAM HARCOURTM	SIR WILLLIAM HARCOURT
SIR WILLIAM HARCOURT,	SIR WILLLIAM HARCOURT
SIRWILLIAM HARCOURT	SIR WILLLIAM HARCOURT
SRI WILLIAM HARCOURT	SIR WILLLIAM HARCOURT
SIR. WILLIAM HARCOURT	SIR WILLLIAM HARCOURT
SIR. W. HARCOURT:	SIR W. HARCOURT
SIR. W. HARCOURT,	SIR W. HARCOURT
SIR. W. HARCOURT	SIR W. HARCOURT
SIR. W. HARCOURT ()	SIR W. HARCOURT
SIR WILLIAM HARCOURT )	SIR WILLLIAM HARCOURT
SIR WILLIAM HARCOURT ()	SIR WILLLIAM HARCOURT
SIR WILLIAM HARCOURT ( )	SIR WILLLIAM HARCOURT
LORDS RANDOLPH CHURCHILL	LORD RANDOLPH CHURCHILL
LORD RANDOLPH CHURCHILLM	LORD RANDOLPH CHURCHILL
LORD RANDOLPH CHURCHILL,	LORD RANDOLPH CHURCHILL
LORD EANDOLPH CHURCHILL	LORD RANDOLPH CHURCHILL
MB. CHURCHILL	MR. CHURCHILL
MR. AUSTEX CHAMBERLAIN	Mr. Austen Chamberlain
MR. AYSTEN CHAMBERLAIN	Mr. Austen Chamberlain
ME. J. CHAMBERLAIN	Mr. J. CHAMBERLAIN
*Mr. LLOYD-GEORGE	Mr. LLOYD-GEORGE
Ma. LLOYD - GEORGE	Mr. LLOYD-GEORGE
MB. LLOYD-GEORGE	Mr. LLOYD-GEORGE
ME. LLOYD-GEORGE	Mr. LLOYD-GEORGE
Mr LLOYD GEORGE	Mr. LLOYD GEORGE
MR- LLOYD-GEORGE	Mr. LLOYD-GEORGE
MR, LLOYD-GEORGE,	Mr. LLOYD-GEORGE
MR: LLOYD-GEORGE	Mr. LLOYD-GEORGE
(2. 55. )MR. LLOYD-GEORGE	Mr. LLOYD-GEORGE
(Answered by Mr. Lloyd-George. )	Mr. LLOYD-GEORGE
MR D. LLOYD-GEORGE	MR. D. LLOYD-GEORGE
Mr LLOYD GEORGE	Mr. LLOYD GEORGE
*VISCOUNT SIDMOUTH	VISCOUNT SIDMOUTH
*VISCOUNT SIDMOUTH,	VISCOUNT SIDMOUTH
VISCOUNT SIDMOUTH,	VISCOUNT SIDMOUTH
Mr. Addingion	Mr. Addington
Mr. Perceral	Mr. Perceval
Lord Henry Petty,	Lord Henry Petty
Lead Henry Petty	Lord Henry Petty
Lord H Petty	Lord H. Petty
Lord Goderich,	Lord Goderich
Viscount Goderich,	Viscount Goderich
VISCOUNT GODERICH,	Viscount Goderich
VISCOUNT GODERICH	Viscount Goderich
The Hon. F. Robinson	F. Robinson
The Hon. Frederick Robinson	Frederick Robinson
By Mr. Robinson.	Mr. Robinson
By Mr. Robinson.	Mr. Robinson
Mr. Herries explained,	Mr. Herries
Mr. Goulbnrn	Mr. Goulburn
Mr. Goulbum	Mr. Goulburn
Mr. Goulbourn	Mr. Goulburn
MR. GOULBOURN	Mr. Goulburn
Mr. Goulbrn	Mr. Goulburn
MR. GOULBUEN	Mr. Goulburn
Mr. Goulbum	Mr. Goulburn
Mr. Goulburn's	Mr. Goulburn
Mr. Goulbourne	Mr. Goulburn
Mr. Goulhurn	Mr. Goulburn
Mr. Denman,	Mr. Denman
Mr. Denman.	Mr. Denman
Mr. Denman:	Mr. Denman
MR. DENMAN,	Mr. Denman
MR. DENMAN	Mr. Denman
Mr. DENMAN	Mr. Denman
Mr Denman	Mr. Denman
LOUD DENMAN (who had some difficulty in obtaining a hearing)	Lord Denman
LORD DENMAX	Lord Denman
LORD DENMAN:	Lord Denman
LORD DENMAN,	Lord Denman
Lord Denman,	Lord Denman
LORD DENMAN (who was very imperfectly heard)	Lord Denman
Lord Denman (the Speaker)	Lord Denman
LORD DENMAN (not having heard the speech of the noble Marquess)	Lord Denman
LORD DENMAN	Lord Denman
Lord DENMAN	Lord Denman
Lord Denman	Lord Denman
LOED DENMAN	Lord Denman
*LORD DENMAN:	Lord Denman
*LORD DENMAN	Lord Denman
SIB ROBERT PEEL	Sir Robert Peel
Sib ROBERT PEEL	Sir Robert Peel
GENERA1	General
Peele	Peel
Sib ROBERT PEEL	Sir Robert Peel
SIB ROBERT PEEL	Sir Robert Peel
SIR BOBERT PEEL	Sir Robert Peel
SIR EGBERT PEEL	Sir Robert Peel
Sir Ro bert Peel	Sir Robert Peel
SIR-ROBERT PEEL	Sir Robert Peel
Fraticis Baring	Francis Baring
FRANCIS THORNHILLBARING	FRANCIS THORNHILL BARING
MR. DISRARLI	Mr. Disraeli
MR. DISREAELI	Mr. Disraeli
MR. DISRABLI	Mr. Disraeli
MR. W. E. GDADSTONE	MR. W. E. GLADSTONE
BANDOLPH CHURCHILL	RANDOLPH CHURCHILL
EANDOLPH CHURCHILL	RANDOLPH CHURCHILL