office_id,alias,corresponding_id,real_name,start,end
60,solicitor general for ireland,,William Cusack-Smith ,1800/12/06,1801/12/17
60,solicitor general for ireland,,James McClelland ,1801/12/17,1803/10/22
60,solicitor general for ireland,1757,William Conyngham Plunket,1803/10/22,1805/10/15
60,solicitor general for ireland,,Charles Kendal Bushe ,1805/10/15,1822/02/14
60,solicitor general for ireland,,Henry Joy ,1822/02/20,1827/06/18
60,solicitor general for ireland,2350,John Doherty ,1827/06/18,1830/12/23
60,solicitor general for ireland,2720,Philip Cecil Crampton ,1830/12/23,1834/10/21
60,solicitor general for ireland,3326,Michael O'Loghlen ,1834/10/21,1835/01/27
60,solicitor general for ireland,,Edward Pennefather ,1835/01/27,1835/04/29
60,solicitor general for ireland,3326,Michael O'Loghlen ,1835/04/29,1835/09/21
60,solicitor general for ireland,,John Richards ,1835/09/21,1836/11/10
60,solicitor general for ireland,3426,Stephen Woulfe ,1836/11/10,1837/02/03
60,solicitor general for ireland,,Maziere Brady ,1837/02/03,1839/02/01
60,solicitor general for ireland,3594,David Richard Pigot ,1839/02/11,1840/08/14
60,solicitor general for ireland,,Richard Moore ,1840/08/14,1841/09/21
60,solicitor general for ireland,,Edward Pennefather  ,1841/09/21,1841/11/10
60,solicitor general for ireland,3285,Joseph Devonsher Jackson ,1841/11/10,1842/09/09
60,solicitor general for ireland,3805,Thomas Berry Cusack-Smith,1842/09/21,1842/11/01
60,solicitor general for ireland,,Richard Wilson Greene ,1842/11/01,1846/02/02
60,solicitor general for ireland,,Abraham Brewster ,1846/02/02,1846/06/01
60,solicitor general for ireland,3881,James Henry Monahan ,1846/07/16,1847/12/24
60,solicitor general for ireland,4097,John Hatchell ,1847/12/24,1850/09/23
60,solicitor general for ireland,4407,Henry George Hughes ,1850/09/26,1852/02/01
60,solicitor general for ireland,4119,James Whiteside ,1852/02/01,1852/12/01
60,solicitor general for ireland,3892,William Keogh ,1853/04/01,1855/03/01
60,solicitor general for ireland,2491,John FitzGerald ,1855/03/01,1856/03/01
60,solicitor general for ireland,,Jonathan Christian,1856/03/01,1858/02/01
60,solicitor general for ireland,4407,Henry George Hughes ,1858/02/01,1858
60,solicitor general for ireland,,Edmund Hayes,1858,1859/06/01
60,solicitor general for ireland,4313,John George,1859/06/01,1859
60,solicitor general for ireland,4385,Rickard Deasy,1859,1860/02/01
60,solicitor general for ireland,4772,Thomas O'Hagan,1860/02/01,1861
60,solicitor general for ireland,4915,James Anthony Lawson,1861,1865
60,solicitor general for ireland,4898,Edward Sullivan,1865,1866/06/01
60,solicitor general for ireland,4861,Michael Morris ,1866/08/03,1866/11/01
60,solicitor general for ireland,5009,Hedges Eyre Chatterton ,1866/11/08,1867
60,solicitor general for ireland,5020,Robert Richard Warren,1867,1867
60,solicitor general for ireland,,Michael Harrison,1867,1868
60,solicitor general for ireland,5095,John Thomas Ball,1868,1868
60,solicitor general for ireland,,Henry Wilmot Ormsby,1868,1868
60,solicitor general for ireland,4850,Charles Robert Barry ,1868/12/12,1870/01/26
60,solicitor general for ireland,5151,Richard Dowse,1870/02/14,1872/01/13
60,solicitor general for ireland,,Christopher Palles,1872/02/06,1872/11/05
60,solicitor general for ireland,5435,Hugh Law,1872/11/18,1874/02/01
60,solicitor general for ireland,,Henry Wilmot Ormsby,1874/03/12,1875/01/21
60,solicitor general for ireland,5262,David Robert Plunket,1875/01/29,1877/03/03
60,solicitor general for ireland,,Gerald FitzGibbon,1877/03/03,1878/12/14
60,solicitor general for ireland,5917,Hugh Holmes ,1878/12/14,1880/04/01
60,solicitor general for ireland,5729,William Moore Johnson ,1880/05/24,1881/11/17
60,solicitor general for ireland,5857,Andrew Marshall Porter,1881/11/18,1883/01/03
60,solicitor general for ireland,,John Naish,1883/01/09,1883/12/19
60,solicitor general for ireland,5890,Samuel Walker,1883/12/19,1885
60,solicitor general for ireland,,Hugh Hyacinth O'Rorke MacDermot,1885,1885/06/01
60,solicitor general for ireland,,John Monroe ,1885/07/03,1885/11/01
60,solicitor general for ireland,6092,John George Gibson,1885/11/01,1886/01/01
60,solicitor general for ireland,,Hugh Hyacinth O'Rorke MacDermot,1886/02/01,1886/07/01
60,solicitor general for ireland,6092,John George Gibson,1886/08/01,1877
60,solicitor general for ireland,7174,Peter O'Brien,1877,1888
60,solicitor general for ireland,6354,Dodgson Hamilton Madden,1888,1890
60,solicitor general for ireland,7206,John Atkinson,1890,1892
60,solicitor general for ireland,7486,Edward Henry Carson,1892/06/01,1892/08/01
60,solicitor general for ireland,7222,Charles Hare Hemphill,1892/08/01,1895/08/28
60,solicitor general for ireland,7563,William Kenny ,1895/08/28,1898
60,solicitor general for ireland,7523,Dunbar Plunket Barton,1898,1900/01/30
60,solicitor general for ireland,,George Wright,1900/01/30,1903/07/08
60,solicitor general for ireland,7485,James Henry Mussen Campbell,1903/07/08,1905/12/20
60,solicitor general for ireland,7278,Redmond John Barry,1905/12/20,1909/12/02
60,solicitor general for ireland,,Charles Andrew O'Connor,1909/12/02,1911/09/26