corresponding_ID,alias_name,real_name,start,end,extra,links
1840,chairman,Alexander Cray Grant,1826/01/01,1831/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
2072,chairman,Ralph Bernal,1831/01/01,1841/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
3051,chairman,Thomas Greene,1841/01/01,1847/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
2072,chairman,Ralph Bernal,1847/01/01,1852/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
2661,chairman,John Wilson-Patten,1852/01/01,1853/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
3822,chairman,Edward Pleydell-Bouverie,1853/04/01,1855/03/01,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
2822,chairman,Henry FitzRoy,1855/03/01,1859/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
4259,chairman,William Nathaniel Massey,1859/01/01,1864/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
4548,chairman,John George Dodson,1865/02/01,1872/04/01,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
4051,chairman,John Bonham Carter,1872/04/01,1874/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
5073,chairman,Henry Cecil Raikes,1874/01/01,1880/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
5236,chairman,Lyon Playfair,1880/01/01,1883/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
4294,chairman,Arthur John Otway,1883/01/01,1885/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
5575,chairman,Leonard Henry Courtney,1886/01/01,1893/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
5693,chairman,John William Mellor,1893/01/01,1895/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
5885,chairman,James William Lowther,1895/01/01,1905/06/01,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
7671,chairman,John Grant Lawson,1905/06/01,1906/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means
7281,chairman,Alfred Emmott,1906/01/01,1911/12/31,Chairman of Ways and Means,https://en.wikipedia.org/wiki/Chairman_of_Ways_and_Means